           Latitude |            Longitude | Level | Code                       |     Center Latitude |     Center Longitude
 +8.051050608696613 |  +77.468171894071020 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
+16.949267618754021 |  +16.157945878882884 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
-12.591988380279005 |  +52.521880703996203 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-10.294047350136452 | +141.038280281548737 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
+76.474173124706340 |  -41.961053222720039 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
+48.115641297217621 |  +10.402171111045618 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
+11.222923185957455 | +153.214789785357993 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
-70.751126776243282 | -148.633452107445351 |     1 | S                          | -71.480666868188223 | -180.000000000000000
-79.132732800343433 | +119.743144397257652 |     1 | S                          | -71.480666868188223 | -180.000000000000000
+45.877757154701385 | +133.204373368854874 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
+78.940870569412681 | +107.697083118020487 |     1 | X                          | +71.480666868188223 | -180.000000000000000
 -6.353397708196681 | +100.990503463123957 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-62.959871115554733 |  +50.371567677908587 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-58.823491482399149 | +160.080810137850222 |     1 | S                          | -71.480666868188223 | -180.000000000000000
 +3.603550861392847 |  -30.721701603411503 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
-38.832997633225496 |  +98.724128196318020 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
 -7.232340768339711 |  +24.636221592713468 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-79.368358310766197 |  +42.348778947315736 |     1 | V                          | -71.480666868188223 |   +0.000000000000000
+18.488497322386323 |  +42.096238874912501 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
+73.189546953076501 |  +65.455307677254041 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
-23.172051002249717 |  -22.668496632237066 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
+32.596282427022430 | -158.318830213462860 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+27.505652286264038 |  +61.429633062537391 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
-47.768024631609357 | -133.586532844252815 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
-30.442307314229893 |  -49.064122460655852 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
+11.577897625272570 |  -22.103455153564681 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+80.549892341926949 | -143.263868130709909 |     1 | X                          | +71.480666868188223 | -180.000000000000000
-48.016384432021468 | -121.928573561401350 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
+25.252907039207372 |  -88.815023085678433 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
 -5.556529461715684 |  -92.006786879423018 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
-56.247819153950182 | -140.264949180850152 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
+25.784205909404818 | -130.254137514499035 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
-50.044159200742222 |  -47.258938562052919 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
+52.942987710989883 | -145.043540714497937 |     1 | X                          | +71.480666868188223 | -180.000000000000000
+55.738911045496877 | -145.404573158173292 |     1 | X                          | +71.480666868188223 | -180.000000000000000
+78.584796361403079 |  -11.285567406827425 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
+78.634544551287718 |  +37.744387108216557 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
+39.462915619038654 | -165.892394788444562 |     1 | X                          | +71.480666868188223 | -180.000000000000000
-35.822712886116300 | -136.729237963259209 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
-33.623597053629069 | -137.258021176472141 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
-30.020926924543886 |  -30.865321974718825 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
-71.887291066986123 |  +69.289962973207139 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
+10.984904489303972 |  -84.459783261799657 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
 +3.834415478404310 | -146.181416126960983 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+12.526227991874933 | +154.546631127437081 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
-29.924312501269988 |  +60.267736786925411 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-60.729384402030171 |  +77.877793482683614 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-34.734285948608779 | -114.051109677437935 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
+14.269002641151388 | -172.761283372502334 |     1 | X                          | +71.480666868188223 | -180.000000000000000
+54.253692306088794 | -178.309628570683060 |     1 | X                          | +71.480666868188223 | -180.000000000000000
+29.328153515491195 |  -82.797129650820651 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+38.791703578401581 | +166.387876242277741 |     1 | X                          | +71.480666868188223 | -180.000000000000000
-41.439376280145154 |  +27.416640390421293 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
+15.180927144566994 |  +26.010686084714422 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
-45.673504475469677 | +162.989644146114586 |     1 | S                          | -71.480666868188223 | -180.000000000000000
 -8.720870628319290 | +124.707122089606003 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
+32.901095224765029 |  -72.922697692151885 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+51.756213425790861 |  -37.257933295085536 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+62.857219421211994 |  +29.258234148909139 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
+62.961485452842680 |  +69.311372427995707 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
+37.152293130882128 |   +0.476777493612815 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
+75.224110738329870 |  +51.836471722669472 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
-12.558960294421141 |  +38.301557086052753 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-79.301823921109914 |  -71.433065997162245 |     1 | V                          | -71.480666868188223 |   +0.000000000000000
+26.418207110219385 |  -75.572061404240131 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+19.464863511771853 |  -25.643267659524184 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
-60.123050406236032 |  -72.618362655828918 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
+11.539655865054684 |  +32.714194049342353 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
+12.258827821146426 |  +55.152295148568101 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
+25.087138312280501 |  -24.689363243769378 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+65.404374917575097 |  -47.677726782757247 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
-10.578112426588859 | +141.092407805641983 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
+50.502076342624065 |  +73.399890074531868 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
-65.936540163902066 | +151.013740948082500 |     1 | S                          | -71.480666868188223 | -180.000000000000000
+35.335868281672035 | +179.584922364431918 |     1 | X                          | +71.480666868188223 | -180.000000000000000
-57.818210394501563 | +132.525380652557146 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-55.666695588146524 |  +41.601443142183911 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
-62.045215204560186 | +125.282962556004406 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
+50.687623109186006 |  +24.876265901253589 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
-15.308714008287396 | -155.099881636150315 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
+32.562895844688427 |  -16.724634235895223 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
+36.624719092936814 | +131.897637334306523 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
+78.430094016642244 | +128.089203261339946 |     1 | X                          | +71.480666868188223 | -180.000000000000000
-80.535390894971499 |  -50.407896787789014 |     1 | V                          | -71.480666868188223 |   +0.000000000000000
+37.933471449939631 | -118.213316185881411 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
 +3.469670635339455 | -160.438324197868695 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
-49.481044516697388 | -173.332153994178981 |     1 | S                          | -71.480666868188223 | -180.000000000000000
+48.441002655925331 |  -99.387112298263148 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
-25.506905775763016 | +154.109265647612688 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
+33.715069860239183 | -168.537985368729181 |     1 | X                          | +71.480666868188223 | -180.000000000000000
-55.303637277221853 |  +43.732224539914881 |     1 | T                          | -46.024837980325273 |  +90.000000000000000
+12.737689886308488 |  -94.358584305176890 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
+71.617044281471550 |  +41.027744147722558 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
 +5.877092964085847 |  +32.367591487645541 |     1 | Y                          | +46.024837980325273 |  +90.000000000000000
+37.955154962321274 |  -67.699801627343334 |     1 | W                          | +46.024837980325273 |  -90.000000000000000
-16.786899383777509 | -104.456250368956034 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
-51.757726607413417 | +159.974060394216110 |     1 | S                          | -71.480666868188223 | -180.000000000000000
+39.510287505005692 |   -3.434828897675857 |     1 | Z                          | +71.480666868188223 |   +0.000000000000000
-44.958842304059246 |  -88.431666562658535 |     1 | R                          | -46.024837980325273 |  -90.000000000000000
-72.896418234970014 |  -23.610014799076509 |     1 | V                          | -71.480666868188223 |   +0.000000000000000
-31.041428230321962 |  +70.683655973565408 |     2 | TN                         | -25.133615388098796 |  +45.000000000000000
-20.162988711928236 | -115.342676078531468 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
-78.397068540888796 | -155.790132673230517 |     2 | SN                         | -78.170882941598961 | -135.000000000000000
+29.588129965464873 |  -16.669135959823677 |     2 | ZM                         | +46.024837980325273 |   +0.000000000000000
 +6.033188691002053 | +142.801665494523149 |     2 | YN                         | +25.133615388098796 | +135.000000000000000
+80.874007462841320 | -101.917085616549386 |     2 | XP                         | +78.170882941598961 | -135.000000000000000
+26.897287854790846 |  -85.203944374625763 |     2 | WK                         | +46.024837980325273 |  -90.000000000000000
-79.061381626595917 |  +93.016315381010941 |     2 | TM                         | -71.480666868188223 |  +90.000000000000000
-29.685454041224325 |  -41.952998098116723 |     2 | RP                         | -25.133615388098796 |  -45.000000000000000
+14.566574689920131 | +119.177443885028538 |     2 | YN                         | +25.133615388098796 | +135.000000000000000
+21.273608055291305 | +134.154235961062284 |     2 | YN                         | +25.133615388098796 | +135.000000000000000
-37.350822861564161 | +107.296860208522958 |     2 | TK                         | -46.024837980325273 |  +90.000000000000000
-51.849605504986570 | +163.004996509900025 |     2 | SM                         | -46.024837980325273 | -180.000000000000000
+30.923360961404512 | -102.417236239118964 |     2 | WK                         | +46.024837980325273 |  -90.000000000000000
+73.787025619617680 |  +83.108090437256806 |     2 | YM                         | +71.480666868188223 |  +90.000000000000000
-40.583611680686381 | -103.207688147706492 |     2 | RK                         | -46.024837980325273 |  -90.000000000000000
 +3.001933014035330 | -170.761421500368641 |     2 | WP                         | +25.133615388098796 | -135.000000000000000
-48.248395171309483 |  -27.113231249457755 |     2 | VM                         | -46.024837980325273 |   +0.000000000000000
-20.753762277150308 |  -13.112847228668159 |     2 | RP                         | -25.133615388098796 |  -45.000000000000000
-36.676788091425436 |  +31.242364724940757 |     2 | TN                         | -25.133615388098796 |  +45.000000000000000
+60.012489615728697 | -137.688531853668081 |     2 | XM                         | +46.024837980325273 | -180.000000000000000
 +2.866421378806422 | -132.455481715744810 |     2 | WP                         | +25.133615388098796 | -135.000000000000000
+35.767730807991470 |  -37.418506989374265 |     2 | WN                         | +25.133615388098796 |  -45.000000000000000
+10.790257823826053 | -114.019258962931701 |     2 | WP                         | +25.133615388098796 | -135.000000000000000
-58.577000896628292 |   -4.299738966376367 |     2 | VM                         | -46.024837980325273 |   +0.000000000000000
-23.814499294127252 | +158.555500291012720 |     2 | TP                         | -25.133615388098796 | +135.000000000000000
+43.761395398812638 |  +89.518903146197033 |     2 | YK                         | +46.024837980325273 |  +90.000000000000000
+66.587476720859854 | -149.967923240873318 |     2 | XK                         | +71.480666868188223 | -180.000000000000000
 +8.608360042413381 |  +30.411384824076805 |     2 | YP                         | +25.133615388098796 |  +45.000000000000000
+76.189432482021061 |  -74.826890354682419 |     2 | WM                         | +71.480666868188223 |  -90.000000000000000
-42.746380434500068 | -143.894180784420769 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
-79.757632863676747 | +154.630554045188603 |     2 | SP                         | -78.170882941598961 | +135.000000000000000
+28.025169385404283 | +102.655048328329599 |     2 | YK                         | +46.024837980325273 |  +90.000000000000000
-36.000324163291928 |  +31.107659827077612 |     2 | TN                         | -25.133615388098796 |  +45.000000000000000
-71.918996541251389 |   -5.174065463535754 |     2 | VK                         | -71.480666868188223 |   +0.000000000000000
+78.755615274264869 | +135.541888313972663 |     2 | XN                         | +78.170882941598961 | +135.000000000000000
-26.693237823410513 | +166.165255634939456 |     2 | SM                         | -46.024837980325273 | -180.000000000000000
-44.251766616207874 | +161.754776069645345 |     2 | SM                         | -46.024837980325273 | -180.000000000000000
+72.798589575397557 | +107.712931446861035 |     2 | YM                         | +71.480666868188223 |  +90.000000000000000
+21.515418009701477 | +134.743667984980902 |     2 | YN                         | +25.133615388098796 | +135.000000000000000
-34.138179608707397 | +125.619679912650554 |     2 | TP                         | -25.133615388098796 | +135.000000000000000
+19.441980924513729 | -175.234731206796198 |     2 | XM                         | +46.024837980325273 | -180.000000000000000
-25.196525131066359 | -126.669290058660579 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
+79.470484396279033 |   -7.786689465604297 |     2 | ZK                         | +71.480666868188223 |   +0.000000000000000
 -0.430254882360572 |  +50.210105903540494 |     2 | TN                         | -25.133615388098796 |  +45.000000000000000
-21.674985438199307 | -130.715902193184377 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
+53.128457563026586 | -111.654751715007137 |     2 | WK                         | +46.024837980325273 |  -90.000000000000000
 +1.866895305367720 |  -99.245869569093870 |     2 | WP                         | +25.133615388098796 | -135.000000000000000
-66.329481545219963 | +130.388946271805992 |     2 | SP                         | -78.170882941598961 | +135.000000000000000
+78.000930759506701 | +165.900476902680055 |     2 | XK                         | +71.480666868188223 | -180.000000000000000
+67.055192439102171 |  +98.657039771509972 |     2 | YM                         | +71.480666868188223 |  +90.000000000000000
-27.520188415972363 | -150.803499604321161 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
-15.299168534648175 |  -96.395708818460619 |     2 | RK                         | -46.024837980325273 |  -90.000000000000000
-60.615616864762053 | -160.766214556742909 |     2 | SM                         | -46.024837980325273 | -180.000000000000000
+37.208384917424397 | -175.886114894988822 |     2 | XM                         | +46.024837980325273 | -180.000000000000000
+44.628209914580793 | -127.099207655864973 |     2 | WP                         | +25.133615388098796 | -135.000000000000000
-69.351485154057428 | -147.742907674102071 |     2 | SK                         | -71.480666868188223 | -180.000000000000000
+28.376688675820816 |  -91.667804452975886 |     2 | WK                         | +46.024837980325273 |  -90.000000000000000
-13.105815474853429 |  +20.652764876610092 |     2 | TN                         | -25.133615388098796 |  +45.000000000000000
+59.467473423796889 |  +81.735934576078193 |     2 | YK                         | +46.024837980325273 |  +90.000000000000000
-37.880945016393021 | -132.666192255194062 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
-73.334294000788177 |  -71.424491586860711 |     2 | RM                         | -71.480666868188223 |  -90.000000000000000
-39.235020338084752 |  -15.789395951827316 |     2 | VM                         | -46.024837980325273 |   +0.000000000000000
+30.229489575688262 |  +70.425160429988580 |     2 | YP                         | +25.133615388098796 |  +45.000000000000000
-35.705298365609742 |  -43.226295875956623 |     2 | RP                         | -25.133615388098796 |  -45.000000000000000
-52.589335676709069 | +103.876384430346718 |     2 | TK                         | -46.024837980325273 |  +90.000000000000000
-73.091220193681664 |  +70.919007020995451 |     2 | TM                         | -71.480666868188223 |  +90.000000000000000
+45.966598514894542 |  +99.866722265551118 |     2 | YK                         | +46.024837980325273 |  +90.000000000000000
-39.679616375208951 |  -45.427270344277872 |     2 | RP                         | -25.133615388098796 |  -45.000000000000000
+14.448237465589827 |  -81.784115127191868 |     2 | WK                         | +46.024837980325273 |  -90.000000000000000
-21.300881227791557 | -109.060459133169729 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
 -6.621165979049152 | -163.939571548518927 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
+49.446805591964335 | -152.295679084812207 |     2 | XM                         | +46.024837980325273 | -180.000000000000000
 +3.106573473822323 |  -69.548364163729403 |     2 | WN                         | +25.133615388098796 |  -45.000000000000000
+12.789538860362470 | +165.396002700033023 |     2 | YN                         | +25.133615388098796 | +135.000000000000000
+24.009614367789084 | -167.269523128023280 |     2 | XM                         | +46.024837980325273 | -180.000000000000000
-11.479066993360433 |   +3.606066834570072 |     2 | VM                         | -46.024837980325273 |   +0.000000000000000
 +5.966931634061638 |  +65.301303817381637 |     2 | YP                         | +25.133615388098796 |  +45.000000000000000
-36.682166381644173 | -133.610196432124724 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
-17.701527039524379 | +164.306060206541588 |     2 | TP                         | -25.133615388098796 | +135.000000000000000
-51.603036490926627 | +145.434223774165332 |     2 | SM                         | -46.024837980325273 | -180.000000000000000
 +7.225130192654888 |  -15.511888207524294 |     2 | WN                         | +25.133615388098796 |  -45.000000000000000
+63.011963512352594 |  -14.902573763309078 |     2 | ZK                         | +71.480666868188223 |   +0.000000000000000
+36.973067737126073 |  -36.350884186883263 |     2 | WN                         | +25.133615388098796 |  -45.000000000000000
+66.641023357980288 |  +68.409007268841862 |     2 | YM                         | +71.480666868188223 |  +90.000000000000000
+32.924644454446423 |  -62.020655439437192 |     2 | WN                         | +25.133615388098796 |  -45.000000000000000
+42.351760918147733 |  +48.981979960970875 |     2 | YP                         | +25.133615388098796 |  +45.000000000000000
-42.879731382761726 | -122.206023905307688 |     2 | RN                         | -25.133615388098796 | -135.000000000000000
+48.885299544937453 | +165.299977092680081 |     2 | XM                         | +46.024837980325273 | -180.000000000000000
 -6.904368528236844 |  +32.754299516526572 |     2 | TN                         | -25.133615388098796 |  +45.000000000000000
+59.000950158525598 |  -15.399556792611463 |     2 | ZM                         | +46.024837980325273 |   +0.000000000000000
+74.529873683625397 |  +27.270418336154080 |     2 | ZP                         | +78.170882941598961 |  +45.000000000000000
+52.905694420484906 | +147.183738628585786 |     2 | XM                         | +46.024837980325273 | -180.000000000000000
+52.040890916928475 | -122.610793158375856 |     2 | WK                         | +46.024837980325273 |  -90.000000000000000
+21.259851737191653 |  -36.563666896916260 |     2 | WN                         | +25.133615388098796 |  -45.000000000000000
-72.123897498307272 |  -27.348389319656889 |     2 | VK                         | -71.480666868188223 |   +0.000000000000000
-39.801420382581114 | +125.653791034263861 |     2 | TP                         | -25.133615388098796 | +135.000000000000000
-76.974356852383465 | +165.233779870850469 |     2 | SK                         | -71.480666868188223 | -180.000000000000000
