Delta Code            | Hex Code             
Z                     | Z                    
Y                     | Z                    
X                     | -                    
W                     | Z                    
V                     | Z                    
T                     | Z                    
S                     | -                    
R                     | Z                    
ZK                    | -                    
ZM                    | ZM                   
ZN                    | -                    
ZP                    | -                    
YK                    | XN                   
YM                    | XN                   
YN                    | XN                   
YP                    | ZM                   
XK                    | XN                   
XM                    | XN                   
XN                    | XN                   
XP                    | -                    
WK                    | -                    
WM                    | -                    
WN                    | ZM                   
WP                    | -                    
VK                    | -                    
VM                    | ZM                   
VN                    | -                    
VP                    | -                    
TK                    | TP                   
TM                    | TP                   
TN                    | ZM                   
TP                    | TP                   
SK                    | TP                   
SM                    | TP                   
SN                    | -                    
SP                    | TP                   
RK                    | -                    
RM                    | -                    
RN                    | -                    
RP                    | ZM                   
Z2                    | Z2                   
Z3                    | -                    
Z4                    | Z2                   
Z5                    | Z2                   
Z6                    | Z2                   
Z7                    | Z7                   
Z8                    | Z2                   
ZA                    | Z2                   
ZB                    | ZD                   
ZC                    | ZD                   
ZD                    | ZD                   
ZE                    | -                    
ZF                    | ZJ                   
ZG                    | ZJ                   
ZH                    | -                    
ZJ                    | ZJ                   
Y2                    | Y4                   
Y3                    | Y4                   
Y4                    | Y4                   
Y5                    | XC                   
Y6                    | ZJ                   
Y7                    | ZJ                   
Y8                    | XC                   
YA                    | ZJ                   
YB                    | YB                   
YC                    | XC                   
YD                    | YB                   
YE                    | YB                   
YF                    | Y4                   
YG                    | Y4                   
YH                    | Y4                   
YJ                    | Z7                   
X2                    | -                    
X3                    | -                    
X4                    | XG                   
X5                    | XC                   
X6                    | -                    
X7                    | -                    
X8                    | XC                   
XA                    | XG                   
XB                    | -                    
XC                    | XC                   
XD                    | -                    
XE                    | -                    
XF                    | -                    
XG                    | XG                   
XH                    | -                    
XJ                    | -                    
W2                    | W5                   
W3                    | W5                   
W4                    | XG                   
W5                    | W5                   
W6                    | ZD                   
W7                    | ZD                   
W8                    | ZD                   
WA                    | XG                   
WB                    | W5                   
WC                    | W5                   
WD                    | Z7                   
WE                    | W5                   
WF                    | WF                   
WG                    | XG                   
WH                    | WF                   
WJ                    | WF                   
V2                    | V6                   
V3                    | -                    
V4                    | V6                   
V5                    | V6                   
V6                    | V6                   
V7                    | Z7                   
V8                    | V6                   
VA                    | V6                   
VB                    | T8                   
VC                    | T8                   
VD                    | T8                   
VE                    | -                    
VF                    | RA                   
VG                    | RA                   
VH                    | -                    
VJ                    | RA                   
T2                    | TE                   
T3                    | TE                   
T4                    | TG                   
T5                    | TE                   
T6                    | T8                   
T7                    | T8                   
T8                    | T8                   
TA                    | TG                   
TB                    | TE                   
TC                    | TE                   
TD                    | Z7                   
TE                    | TE                   
TF                    | YB                   
TG                    | TG                   
TH                    | YB                   
TJ                    | YB                   
S2                    | -                    
S3                    | -                    
S4                    | TG                   
S5                    | RC                   
S6                    | -                    
S7                    | -                    
S8                    | RC                   
SA                    | TG                   
SB                    | -                    
SC                    | RC                   
SD                    | -                    
SE                    | -                    
SF                    | -                    
SG                    | TG                   
SH                    | -                    
SJ                    | -                    
R2                    | RH                   
R3                    | RH                   
R4                    | RH                   
R5                    | RC                   
R6                    | RA                   
R7                    | RA                   
R8                    | RC                   
RA                    | RA                   
RB                    | WF                   
RC                    | RC                   
RD                    | WF                   
RE                    | WF                   
RF                    | RH                   
RG                    | RH                   
RH                    | RH                   
RJ                    | Z7                   
Z2K                   | Z3K                  
Z2M                   | Z2M                  
Z2N                   | Z3K                  
Z2P                   | Z3K                  
Z3K                   | Z3K                  
Z3M                   | -                    
Z3N                   | Z3K                  
Z3P                   | Z3K                  
Z4K                   | ZGN                  
Z4M                   | ZGN                  
Z4N                   | ZGN                  
Z4P                   | Z2M                  
Z5K                   | ZCP                  
Z5M                   | ZCP                  
Z5N                   | Z2M                  
Z5P                   | ZCP                  
Z6K                   | Z6K                  
Z6M                   | Z2M                  
Z6N                   | Z6K                  
Z6P                   | Z6K                  
Z7K                   | Z6K                  
Z7M                   | Z7M                  
Z7N                   | Z6K                  
Z7P                   | Z6K                  
Z8K                   | Z8N                  
Z8M                   | Z8N                  
Z8N                   | Z8N                  
Z8P                   | Z2M                  
ZAK                   | ZAP                  
ZAM                   | ZAP                  
ZAN                   | Z2M                  
ZAP                   | ZAP                  
ZBK                   | ZEN                  
ZBM                   | ZEN                  
ZBN                   | ZEN                  
ZBP                   | ZDM                  
ZCK                   | ZCP                  
ZCM                   | ZCP                  
ZCN                   | ZDM                  
ZCP                   | ZCP                  
ZDK                   | -                    
ZDM                   | ZDM                  
ZDN                   | -                    
ZDP                   | -                    
ZEK                   | ZEN                  
ZEM                   | ZEN                  
ZEN                   | ZEN                  
ZEP                   | -                    
ZFK                   | ZHP                  
ZFM                   | ZHP                  
ZFN                   | ZJM                  
ZFP                   | ZHP                  
ZGK                   | ZGN                  
ZGM                   | ZGN                  
ZGN                   | ZGN                  
ZGP                   | ZJM                  
ZHK                   | ZHP                  
ZHM                   | ZHP                  
ZHN                   | -                    
ZHP                   | ZHP                  
ZJK                   | -                    
ZJM                   | ZJM                  
ZJN                   | -                    
ZJP                   | -                    
Y2K                   | Y5N                  
Y2M                   | Y5N                  
Y2N                   | Y5N                  
Y2P                   | Y4M                  
Y3K                   | Y3P                  
Y3M                   | Y3P                  
Y3N                   | Y4M                  
Y3P                   | Y3P                  
Y4K                   | YAK                  
Y4M                   | Y4M                  
Y4N                   | YAK                  
Y4P                   | YAK                  
Y5K                   | Y5N                  
Y5M                   | Y5N                  
Y5N                   | Y5N                  
Y5P                   | XCM                  
Y6K                   | Y6P                  
Y6M                   | Y6P                  
Y6N                   | ZJM                  
Y6P                   | Y6P                  
Y7K                   | XDN                  
Y7M                   | XDN                  
Y7N                   | XDN                  
Y7P                   | ZJM                  
Y8K                   | Y6P                  
Y8M                   | Y6P                  
Y8N                   | XCM                  
Y8P                   | Y6P                  
YAK                   | YAK                  
YAM                   | ZJM                  
YAN                   | YAK                  
YAP                   | YAK                  
YBK                   | YCK                  
YBM                   | YBM                  
YBN                   | YCK                  
YBP                   | YCK                  
YCK                   | YCK                  
YCM                   | XCM                  
YCN                   | YCK                  
YCP                   | YCK                  
YDK                   | X7N                  
YDM                   | X7N                  
YDN                   | X7N                  
YDP                   | YBM                  
YEK                   | Y3P                  
YEM                   | Y3P                  
YEN                   | YBM                  
YEP                   | Y3P                  
YFK                   | YFN                  
YFM                   | YFN                  
YFN                   | YFN                  
YFP                   | Y4M                  
YGK                   | ZAP                  
YGM                   | ZAP                  
YGN                   | Y4M                  
YGP                   | ZAP                  
YHK                   | YHK                  
YHM                   | Y4M                  
YHN                   | YHK                  
YHP                   | YHK                  
YJK                   | YFN                  
YJM                   | YFN                  
YJN                   | YFN                  
YJP                   | Z7M                  
X2K                   | X2N                  
X2M                   | X2N                  
X2N                   | X2N                  
X2P                   | -                    
X3K                   | XEP                  
X3M                   | XEP                  
X3N                   | -                    
X3P                   | XEP                  
X4K                   | -                    
X4M                   | -                    
X4N                   | XGM                  
X4P                   | -                    
X5K                   | X2N                  
X5M                   | X2N                  
X5N                   | X2N                  
X5P                   | XCM                  
X6K                   | X8P                  
X6M                   | X8P                  
X6N                   | -                    
X6P                   | X8P                  
X7K                   | X7N                  
X7M                   | X7N                  
X7N                   | X7N                  
X7P                   | -                    
X8K                   | X8P                  
X8M                   | X8P                  
X8N                   | XCM                  
X8P                   | X8P                  
XAK                   | -                    
XAM                   | -                    
XAN                   | -                    
XAP                   | XGM                  
XBK                   | XBK                  
XBM                   | -                    
XBN                   | XBK                  
XBP                   | XBK                  
XCK                   | XBK                  
XCM                   | XCM                  
XCN                   | XBK                  
XCP                   | XBK                  
XDK                   | XDN                  
XDM                   | XDN                  
XDN                   | XDN                  
XDP                   | -                    
XEK                   | XEP                  
XEM                   | XEP                  
XEN                   | -                    
XEP                   | XEP                  
XFK                   | XFK                  
XFM                   | -                    
XFN                   | XFK                  
XFP                   | XFK                  
XGK                   | XFK                  
XGM                   | XGM                  
XGN                   | XFK                  
XGP                   | XFK                  
XHK                   | -                    
XHM                   | -                    
XHN                   | -                    
XHP                   | -                    
XJK                   | XJP                  
XJM                   | XJP                  
XJN                   | -                    
XJP                   | XJP                  
W2K                   | W4P                  
W2M                   | W4P                  
